id,Coursecode,Coursetitle,Subtopic,Question,Answerkey,isObjective
GNS425-17,GNS425,Law of Contract,Contract Formation Requirements,Which of the following is not a requirement for the formation of a contract? (A) Offer (B) Acceptance (C) Consideration (D) Deal,D,1
GNS425-18,GNS425,Law of Contract,Contract Formation Requirements,Which of the following is not a requirement for the formation of a contract? (A) Deal (B) Acceptance (C) Capacity to contract (D) intention to create legal relation,A,1
GNS425-19,GNS425,Law of Contract,Contract Formation Requirements,___ is a definite undertaking or proposal entered by a person with the intention of a legally binding agreement (A) Offer (B) Acceptance (C) Consideration (D) Deal,A,1
GNS425-20,GNS425,Law of Contract,Contract Formation Requirements,A person making an offer is known as ___ (A) Offer person (B) Offeree (C) Offeror (D) Offer,C,1
GNS425-21,GNS425,Law of Contract,Contract Formation Requirements,A person who an offer is made to is known as ___ (A) Offer person (B) Offeree (C) Offeror (D) Offer,B,1
GNS425-22,GNS425,Law of Contract,Contract Formation Requirements,When does an offer becomes effective? (A) When an agreement is made (B) When it reaches the offeree (C) When it it leaves the offeror's place (D) When it is signed by the offeror,B,1
GNS425-23,GNS425,Law of Contract,Contract Formation Requirements,___ is a preliminary move that may or may not lead to a contract (A) Offer (B) Invitation to treat (C) Invitation offer  (D) Treat,B,1
GNS425-24,GNS425,Law of Contract,Contract Formation Requirements,Which of the following is an invitation to treat? (A) Auctioneer's request for bids (B) A company offer of a reward to the whole world (C) None of the above (D) All of the above,A,1
GNS425-25,GNS425,Law of Contract,Contract Formation Requirements,Is a person entitled to an offer he/she is not aware of? (A) Yes (B) No (C) Maybe (D) Not sure,B,1
GNS425-26,GNS425,Law of Contract,Contract Formation Requirements,The following terminates an offer except (A) Death of offeror or offeree (B) Non-acceptance within stipulated time for acceptance (C) Acceptance of the offer (D) Revocation before acceptance by the offeror,C,1
GNS425-27,GNS425,Law of Contract,Contract Formation Requirements,In which instance can an offer not be revoked? (A) Before acceptance by the offeree (B) After the stipulated time of acceptance (C) Promise to keep the offer open due to a consideration given by the offeree (D) Before the offer gets to the offeree,C,1
GNS425-28,GNS425,Law of Contract,Contract Formation Requirements,In which instance can an offer not be revoked? (A) Acceptance by offeree before reciept of revocation  (B) After the stipulated time of acceptance (C) Promise to keep the offer open due to a consideration given by the offeree (D) Before the offer gets to the offeree,A,1
GNS425-29,GNS425,Law of Contract,Contract Formation Requirements,___ is the assent by the offeree to the terms of an offer proposed by an offeror (A) Offer (B) Acceptance (C) Consideration (D) Capacity to contract,B,1
GNS425-30,GNS425,Law of Contract,Contract Formation Requirements,___ triggers a contract into existence? (A) Offer (B) Acceptance (C) Consideration (D) Capacity to contract,B,1
GNS425-31,GNS425,Law of Contract,Contract Formation Requirements,___ is as a result of the inclusion of a fresh term to an offer's acceptance (A) Negotiation (B) Counteroffer (C) All of the above  (D) None of the above,B,1
GNS425-32,GNS425,Law of Contract,Contract Formation Requirements,A counter offer ___ an original offer (A) Upholds (B) Destroys (C) Strengthens (D) Validates,B,1
GNS425-33,GNS425,Law of Contract,Contract Formation Requirements,In what case is an acceptance of an offer invalid (A) Acceptance through prefered method stated in the offer (B) Acceptance through any method irrespective of directive in the offer (C) None of th above (D) All of the above,B,1
GNS425-34,GNS425,Law of Contract,Contract Formation Requirements,Is communication of acceptance necessary in respect to offers that need to be acted upon if it is not expressly stated in the offer (A) Yes (B) No (C) Maybe (D) None of the above,B,1
GNS425-35,GNS425,Law of Contract,Contract Formation Requirements,Is a mental acceptance of an offer valid? (A) Yes (B) No (C) Maybe (D) None of the above,B,1
GNS425-36,GNS425,Law of Contract,Contract Formation Requirements,When can an acceptance be valid? (A) Before acceptance gets to the offeror (B) After the acceptance has been sent to the offeror (C) When the acceptance gets to the offeror (D) None of the above,C,1
GNS425-37,GNS425,Law of Contract,Contract Formation Requirements,Can a contract be valid if the acceptance is subject to a conditon that is not fulfilled? (A) Yes (B) No (C) Maybe (D) None of the above,B,1
GNS425-38,GNS425,Law of Contract,Contract Formation Requirements,___ is the benefit or promise received by a party in exchange for the benefit or promise conferred on the other party (A) Offer (B) Acceptance (C) Consideration (D) Deal,C,1
GNS425-39,GNS425,Law of Contract,Contract Formation Requirements,___ consideration is an act done by one party in exchange for a promise or action by the other party (A) Offer (B) Executed (C) Executory (D) Acceptance,C,1
GNS425-40,GNS425,Law of Contract,Contract Formation Requirements,___ consideration takes the form of a promise to be performed in the future (A) Offer (B) Executed (C) Executory (D) Acceptance,C,1
GNS425-41,GNS425,Law of Contract,Contract Formation Requirements,___ consideration takes the form of a promise to be performed immediately (A) Past (B) Executed (C) Executory (D) Acceptance,B,1
GNS425-42,GNS425,Law of Contract,Contract Formation Requirements,___ consideration is an act promised by one party in exchange for a promise or act by the other party (A) Past (B) Executed (C) Executory (D) Acceptance,C,1
GNS425-43,GNS425,Law of Contract,Contract Formation Requirements,Which of the following consideration enforces a contract? (A) Executory (B) Executed (C) Both A and B (D) Past,A,1
GNS425-44,GNS425,Law of Contract,Contract Formation Requirements,___ consideration involves a completed or exhausted  consideration before the new promise to be enforced is made (A) Past (B) Executed (C) Executory (D) Acceptance,A,1
GNS425-45,GNS425,Law of Contract,Contract Formation Requirements,Does consideration require equality of promises to be valid? (A) Yes (B) No (C) Maybe (D) None of the above,B,1
GNS425-46,GNS425,Law of Contract,Contract Formation Requirements,What is required for a consideration to be valid? (A) Value (B) Equality of promises (C) None of the above  (D) All of the above,A,1
GNS425-47,GNS425,Law of Contract,Contract Formation Requirements,What is required for a consideration to be valid? (A) Value (B) Legality of consideration (C) Equality of promises (D) A & B,D,1
GNS425-48,GNS425,Law of Contract,Contract Formation Requirements,The following renders a consideration invalid except (A) Value (B) Illegality of consideration (C) Promise to perform an existing obligation (D) Operating on a past consideration,A,1
GNS425-49,GNS425,Law of Contract,Contract Formation Requirements,The following renders a consideration invalid except (A) Legality of consideration(B) Illegality of consideration (C) Promise to perform an existing obligation (D) Operating on a past consideration,A,1
GNS425-50,GNS425,Law of Contract,Contract Formation Requirements,A valid contract can only be enforceable if the parties have ___ to enter into that type of contract (A) Offer (B) Capacity (C) Consideration (D) Acceptance,B,1
