id,Coursecode,Coursetitle,Subtopic,Question,Answerkey,isObjective
COM423-19,COM 423,Expert systems and Machine Learning,Machine learning paradigms,Which of the following is a category of supervised learning (A) Classification (B) Regression (C) A and B (D) None of the above,C,1
COM423-20,COM 423,Expert systems and Machine Learning,Machine learning paradigms,Machine learning follows which type of process? (A) Linear (B) Iterative (C) Both (D) None,B,1
COM423-21,COM 423,Expert systems and Machine Learning,Machine learning paradigms,Does machine learning follows a linear process? (A) Yes (B) No (C) Maybe (D) I am not sure,B,1
COM423-22,COM 423,Expert systems and Machine Learning,Uses of machine learning,The following are use cases of machine learning except when (A) Human expertise exists  (B) Humans can't explain their expertise (C) Models must be customized (D) Models are based on huge amount of data,A,1
COM423-23,COM 423,Expert systems and Machine Learning,Uses of machine learning,The following apps employs machine learning except (A) Netflix (B) Yabatech portal (C) Facebook ads (D) Spotify,B,1
COM423-24,COM 423,Expert systems and Machine Learning,Uses of machine learning,The following apps makes personalized predictions from past data except (A) Netflix (B) Spotify (C) Facebook ads (D) Calculator,D,1
COM423-25,COM 423,Expert systems and Machine Learning,Uses of machine learning,Successful machine learning applications include the following except (A) Speech recognition (B) Computer vision (C) Bio-surveillance (D) None of the above,D,1
COM423-26,COM 423,Expert systems and Machine Learning,Uses of machine learning,Successful machine learning applications include the following except (A) Robot control (B) Emperical science (C) Information extraction (D) None of the above,D,1
COM423-27,COM 423,Expert systems and Machine Learning,Supervised learning,___ learning is where an algoritm is used to learn the mapping function of input variables (x) and an output variable (y) (A) Supervised (B) Unsupervised (C) Reinforcement (D) Semi-supervised,A,1
COM423-28,COM 423,Expert systems and Machine Learning,Supervised learning,___ learning involves the process of teaching an algorithm from a training data set (A) Supervised (B) Unsupervised (C) Reinforcement (D) Semi-supervised,A,1
COM423-29,COM 423,Expert systems and Machine Learning,Supervised learning,What type of data is needed in a supervised learning? (A) Training (B) Testing (C) A and B (D) None of the above,,1
COM423-30,COM 423,Expert systems and Machine Learning,Supervised learning,Which of the following is a supervised learning algorithm? (A) Linear regression (B) Logistic regression (C) Decision tree (D) All of the above,D,1
COM423-31,COM 423,Expert systems and Machine Learning,Supervised learning,Which of the following is a supervised learning algorithm? (A) Naive Bayes Classifierv(B) Logistic regression (C) Dustr forest (D) Random forest,C,1
COM423-32,COM 423,Expert systems and Machine Learning,Regression,____ analysis is a form of predictive modelling technique that investigates the relationship netween a dependent and independent variable (A) Naive bayes (B) Decision tree (C) Regression (D) Random forest,C,1
COM423-33,COM 423,Expert systems and Machine Learning,Regression,What variables are investigated in regression analysis (A) Independent variable (B) Dependent variable (C) A and B (D) None of the above,C,1
COM423-34,COM 423,Expert systems and Machine Learning,Regression,Is regression analysis a predictive modelling technique? (A) Yes (B) No (C) Maybe (D) Not sure,A,1
COM423-35,COM 423,Expert systems and Machine Learning,Regression,The following are 3 major uses of regression analysis except (A) Movie recommendation (B) Trend forecasting (C) Forecasting an effect (D) Determining the strength of predictors,A,1
COM423-36,COM 423,Expert systems and Machine Learning,Regression,How many types of regression are in machine learning (A) 2 (B) 4 (C) 6 (D) 6,A,1
COM423-37,COM 423,Expert systems and Machine Learning,Regression,The following are types of regression in machine learning (A) Linear (B) Logistic (C) A and B (D) ,C,1
COM423-38,COM 423,Expert systems and Machine Learning,Regression,The following type of regression is modelled using a straight line (A) Linear (B) Logistic (C) Both (D) None,,1
COM423-39,COM 423,Expert systems and Machine Learning,Regression,The following type of regression is a combination of predictor variables used to estimate the probability of an event occuring (A) Linear (B) Logistic (C) Both (D) None,B,1
COM423-40,COM 423,Expert systems and Machine Learning,Regression,The following type of regression uses a continuous variable (A) Linear (B) Logistic (C) Both (D) None,A,1
COM423-41,COM 423,Expert systems and Machine Learning,Regression,The following type of regression uses a categorical variable (A) Linear (B) Logistic (C) Both (D) None,B,1
COM423-42,COM 423,Expert systems and Machine Learning,Regression,The following type of regression predicts the value of a variable based on the value of another variable (A) Linear (B) Logistic (C) Both (D) None,A,1
COM423-43,COM 423,Expert systems and Machine Learning,Regression,The following type of regression predicts the probability of an event's occurence (A) Linear (B) Logistic (C) Both (D) None,B,1
COM423-44,COM 423,Expert systems and Machine Learning,Regression,"The following type of regression is measured by loss, R (A) Linear (B) Logistic (C) Both (D) None",A,1
COM423-45,COM 423,Expert systems and Machine Learning,Regression,"The following type of regression is measured by accuracy, precision, recall (A) Linear (B) Logistic (C) Both (D) None",B,1
COM423-46,COM 423,Expert systems and Machine Learning,Regression,Which of the following is not a selection criteria in linear regression? (A) Classification and regression capabilities (B) Data Quality (C) Validity (D) Computational complexity,C,1
COM423-47,COM 423,Expert systems and Machine Learning,Regression,Linear regression is used oin the followin except (A) Domain sales (B) Evaluating trends and sales estimates  (C) Analyzing the impact of price changes (D) Assessment of risk in financial services and insurance domain,A,1
COM423-48,COM 423,Expert systems and Machine Learning,Regression,____ is the distance netween actual and predicted value (A) Sum square error  (B) Mean  square error (C) average square error (D) Low  square error,B,1
COM423-49,COM 423,Expert systems and Machine Learning,Regression,____ is a statistical measure of how close the data are the fitted regression line (A)  Mean square error( B) R-square (C) None of the above (D) A and B,B,1
COM423-50,COM 423,Expert systems and Machine Learning,Regression,What is another name for R-square? (A) Mean suare (B) Coefficient of determination (C) Coefficient of multiple determination (D) A and B,D,1
